Region,Technology,Material,Scenario,Unit,Density,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EU,Wind,Al,HDS,t/yr,12674.924,17013.12683,21207.66947,25342.3038,29417.02983,33431.84757,37386.757,41281.75813,45116.85097,48892.0355,52607.31173,56262.67967,59858.1393,63813.67182,67759.8124,71696.56104,75623.91774,79541.8825,83450.45532,87349.6362,91239.42514,95119.82214,98990.8272,102852.4403,106704.6615,110547.4907,114380.928,118204.9734,122019.6268,125824.8883,129620.7578,133407.2354,137184.3211
EU,Wind,B,LDS,t/yr,22.992075,21.54005078,20.19287615,18.94058492,17.77635591,16.69384785,15.68716674,14.75083531,13.87976449,13.06922676,12.31483135,11.61250096,10.95845016,10.65312676,10.35576453,10.06608941,9.783846924,9.508800259,9.240728603,8.979425572,8.724697811,8.476363711,8.234252253,7.998201959,7.768059944,7.543681063,7.324927135,7.111666252,6.903772151,6.701123655,6.503604172,6.311101241,6.123506136
EU,Wind,B,MDS,t/yr,22.992075,26.22818263,29.31229317,32.24945917,35.04458654,37.70243851,40.22763945,42.62467865,44.89791394,47.0515753,49.08976828,51.01647741,52.83556947,54.84950142,56.78658869,58.64860255,60.4372841,62.15434459,63.80146565,65.3802997,66.89247016,68.33957185,69.72317124,71.0448068,72.30598933,73.50820227,74.65290202,75.74151825,76.77545428,77.75608735,78.684769,79.56282533,80.39155741
EU,Wind,B,HDS,t/yr,22.992075,29.60951783,36.7177685,44.399597,52.65500333,61.4839875,70.8865495,80.86268933,91.412407,102.5357025,114.2325758,126.503027,139.347056,149.1548356,159.085682,169.1395952,179.3165752,189.616622,200.0397356,210.585916,221.2551632,232.0474772,242.962858,254.0013056,265.16282,276.4474012,287.8550492,299.385764,311.0395456,322.816394,334.7163092,346.7392912,358.88534
EU,Wind,Cr,LDS,t/yr,6262.67955,6417.077941,6566.748937,6714.628781,6860.705735,7004.96806,7147.404019,7288.001873,7426.749884,7563.636315,7698.649427,7831.777482,7963.008743,8099.995385,8234.749567,8367.263824,8497.530689,8625.542696,8751.29238,8874.772275,8995.974916,9114.892837,9231.518571,9345.844654,9457.863619,9567.568001,9674.950333,9780.003151,9882.718989,9983.09038,10081.10986,10176.76996,10270.06322
EU,Wind,Cr,MDS,t/yr,6262.67955,7145.782532,8022.802576,8893.743679,9758.609835,10617.40504,11470.13329,12316.79858,13157.40491,13991.95627,14820.45666,15642.91007,16459.3205,17283.21906,18102.51913,18917.20976,19727.28,20532.71888,21333.51547,22129.65881,22921.13795,23707.94194,24490.05982,25267.48064,26040.19346,26808.18732,27571.45127,28329.97435,29083.74562,29832.75413,30576.98892,31316.43904,32051.09354
EU,Wind,Cr,HDS,t/yr,6262.67955,8360.960928,10426.87085,12498.63903,14576.26546,16659.75014,18749.09307,20844.29425,22945.35369,25052.27138,27165.04731,29283.6815,31408.17395,33524.26929,35644.10522,37767.68173,39894.99883,42026.05651,44160.85477,46299.39361,48441.67304,50587.69305,52737.45364,54890.95482,57048.19658,59209.17892,61373.90184,63542.36535,65714.56944,67890.51412,70070.19937,72253.62521,74440.79164
EU,Wind,Cu,LDS,t/yr,29347.10175,29925.01383,30477.75416,31019.58606,31550.53874,32070.64145,32579.92339,33078.41379,33566.14187,34043.13686,34509.42798,34965.04446,35410.01551,36080.3091,36738.65575,37385.04666,38019.47304,38641.92609,39252.39703,39850.87706,40437.35739,41011.82923,41574.28378,42124.71226,42663.10586,43189.45581,43703.7533,44205.98955,44696.15575,45174.24313,45640.24289,46094.14623,46535.94436
EU,Wind,Cu,MDS,t/yr,29347.10175,33449.24834,37516.43003,41548.72862,45546.22591,49509.00371,53437.14383,57330.72806,61189.83821,65014.55607,68804.96347,72561.14219,76283.17403,80069.25282,83831.57473,87570.11503,91284.84901,94975.75195,98642.79912,102285.9658,105905.2273,109500.5588,113071.9357,116619.3332,120142.7266,123642.0912,127117.4022,130568.635,133995.7648,137398.7669,140777.6165,144132.289,147462.7597
EU,Wind,Cu,HDS,t/yr,29347.10175,39333.70401,49180.34238,59067.95915,68996.55433,78966.12793,88976.67993,99028.21033,109120.7192,119254.2064,129428.672,139644.1161,149900.5385,159938.5519,169990.8151,180057.3282,190138.0911,200233.1038,210342.3664,220465.8788,230603.6411,240755.6532,250921.9151,261102.4269,271297.1885,281506.2,291729.4613,301966.9724,312218.7334,322484.7442,332765.0049,343059.5154,353368.2757
